x,y
3.78284,-1.63692
2.78675,3.59065
-3.44822,-3.34199
-2.65888,-2.71715
4.41031,1.09186
3.6046,0.0426597
-2.42835,1.28759
1.90341,2.4503
1.31169,-3.48287
3.58841,-1.53212
-2.45496,3.40501
2.79165,3.07944
0.857812,-4.68146
-1.42175,-0.251389
1.28862,3.3828
4.04399,1.32808
3.22558,-3.28309
-2.2166,-4.27586
3.86466,0.464212
-1.69838,4.73887
1.90842,0.661216
-2.02015,2.36729
-2.91793,-1.19727
1.22865,-3.51001
0.651643,1.80223
-3.22155,-0.300923
-2.96827,2.79111
0.687998,2.31445
4.40278,1.66063
0.221922,1.36407
-2.38152,-3.03563
0.600978,-3.54074
-3.38085,3.24262
2.35258,1.49914
-4.3037,-2.3812
-1.31841,4.67303
1.76969,2.31897
-2.44543,-3.2822
1.23071,-1.34326
-1.96384,-0.0541157
2.0715,-4.0639
0.024003,3.66429
2.5634,2.35737
3.76481,-1.6368
-1.45683,-3.66566
-2.00601,0.339519
0.993173,2.87749
-4.60673,1.73674
-0.340694,1.8626
-1.25249,-1.37139
-4.33093,-0.567087
-4.10069,0.985294
1.06092,4.60312
1.07179,-0.957187
0.349435,4.09657
2.02626,-2.0837
0.729182,2.25426
-4.26205,0.138536
2.73052,-0.759114
-0.411824,-4.24993
-0.399335,4.44846
3.05216,0.749237
-1.19622,-2.4469
0.194573,-1.76606
3.18317,-0.259916
-0.308325,2.93564
-0.436375,2.6583
0.905949,3.38129
1.433,1.46372
-2.5017,-3.11707
2.80466,-4.13572
1.15693,4.67176
-1.63567,2.32735
2.01158,-2.87068
1.73839,-3.16784
-0.437194,4.60017
1.43196,-2.74048
-3.42693,1.8122
2.18639,4.14864
-1.10328,3.04411
-3.92732,-0.564433
-2.47017,-1.24855
-2.03563,2.99478
-0.0702064,-4.34006
-3.91565,-2.87051
2.47387,3.01168
-0.3107,-3.7614
-0.970907,-4.73514
-0.513433,-1.87766
-2.051,0.68362
-1.95541,1.56981
-1.06525,-2.10104
-3.42156,3.28222
-3.23947,1.82097
-1.08846,-3.86467
-3.09953,1.97846
-3.95752,1.44813
0.891057,1.58635
2.15479,4.50764
-4.05278,-2.88009
1.04021,2.98816
1.45515,-1.54967
-1.76878,-3.77486
3.94286,0.852169
1.05781,-3.33937
4.43854,-0.969412
-1.88042,3.73012
1.9028,4.57799
-4.92611,-0.632001
-0.523776,3.44159
-4.80051,1.09459
3.66757,-2.79317
-3.85532,1.76181
-2.7783,3.00606
-2.65939,0.376582
-2.24844,3.62403
-0.487265,-4.76522
-0.856535,4.83664
-4.33303,1.97526
2.65312,2.74835
3.41269,0.0945259
-3.49511,0.405966
1.30292,2.42302
1.28149,-3.70867
1.14058,-3.95438
1.83313,4.60546
0.936431,2.0339
-1.54927,2.87306
4.25747,-2.58782
3.76234,-2.58149
-1.91303,-3.6901
2.26458,1.58652
3.22682,-1.71755
0.920623,0.414245
-1.19735,1.88817
-2.41045,3.75192
3.75088,0.516346
-4.21735,2.28722
2.71308,-1.72887
3.94534,2.12741
1.12542,3.81315
-3.35907,3.0697
-0.278535,3.71516
3.85532,-2.46066
-1.9036,-2.017
-2.034,2.7679
1.76387,-3.31977
3.94885,1.89534
-0.296854,-1.56054
0.543362,1.66256
1.6011,-4.52074
2.36458,-1.79155
0.0919265,2.24647
1.00824,-4.26562
3.42341,-3.07683
-1.76163,1.76421
-3.70097,0.317176
0.93879,3.59155
1.20362,1.86023
-0.256058,-2.69355
-1.69471,1.34903
-3.93789,-2.56177
4.18655,-1.5285
-2.36531,-2.09849
0.425061,-1.70578
-3.06164,-1.81311
0.0908595,1.15771
-1.66571,4.51943
-1.43665,-0.0562154
-2.41909,-1.1071
-3.5154,-3.505
2.84871,2.31574
0.465287,3.87994
-0.178085,-4.33168
-0.710253,4.73726
3.55992,-2.40694
-4.48808,0.328193
3.8726,-2.53248
0.987266,1.3079
-2.99964,-2.00671
1.36135,-2.97307
-1.38462,-4.7365
0.0503766,-1.18879
4.79282,-1.09647
-4.44221,0.128372
-0.990536,4.85302
-3.51881,-0.736852
1.82029,1.55609
-2.55125,1.28759
-2.88108,3.49001
0.55215,2.21859
0.536756,-2.92248
-2.33145,3.30614
1.70491,-2.90022
-0.963989,3.45106
0.53743,-1.26438
3.56511,-0.383999
3.73647,1.9346
-4.13369,-1.1724
-0.710142,4.52752
3.90164,-0.30841
-0.868844,3.5293
-2.61114,2.22494
-0.994426,2.4623
-0.517593,2.131
-1.17177,3.26707
4.31922,-0.733543
-1.11879,1.80915
-3.54694,-0.00927706
-0.219278,-3.41912
-0.612629,1.83324
-0.787509,-2.07844
0.72642,-2.40214
-2.28902,-1.40177
-0.730144,-0.921784
-3.20714,-2.67572
0.106357,-1.27083
1.92606,2.30214
1.51838,-1.87109
-3.51893,-2.5308
3.31104,2.1779
-3.53652,-1.32609
-2.44244,-0.361183
4.33574,-0.541443
3.31833,2.90957
-3.4133,2.41138
0.964965,2.07493
-3.10796,2.88223
0.86636,3.3107
-1.29914,-1.59399
-1.69873,-0.207575
3.79172,-0.285028
1.6502,-1.7033
1.25332,4.83151
-1.57743,-1.2243
3.49486,-1.09819
1.36328,4.69357
-0.396283,-4.08211
1.98099,3.49425
-3.52945,-3.29871
-2.02746,-2.64969
-1.99668,2.802
1.8694,0.621216
-3.78605,-0.998562
-1.82747,-3.78235
1.79299,1.47897
-0.91675,-3.55478
-4.46735,-1.74203
2.3798,0.00991475
-2.3534,-4.24888
1.49361,3.79554
2.74938,2.66913
-1.12058,-4.66025
-2.58961,3.35432
2.3167,-0.975889
-1.8169,-1.0895
-4.79418,0.877431
1.95886,-0.107877
4.50493,-2.1337
-1.6442,4.33835
-0.880114,3.68209
-1.79333,2.70167
1.23727,4.76922
3.67959,-3.13061
-0.473782,-3.94095
-2.89525,1.73045
-0.246188,-3.56544
-3.47636,-1.77625
-1.84274,2.68863
1.08008,-0.778107
3.3605,2.41341
-4.91066,0.182784
-2.26083,3.13625
4.48387,0.566689
-5.01661,-0.460735
-1.71178,-0.800982
-1.19446,2.67599
-1.3205,-0.564909
-1.82445,2.0777
3.92976,-1.27896
4.25999,2.01185
-2.69636,1.33191
-1.34144,-0.868733
1.15426,-0.587262
0.883081,1.61066
-1.34909,-2.21843
2.34377,4.05777
4.56278,1.69334
1.74846,2.1423
0.921645,2.57316
-0.725503,2.68162
-1.53738,-2.29234
0.210533,4.56855
5.00304,0.174195
3.77578,-1.51887
3.87794,1.55456
-2.67292,-2.64659
2.84559,-2.19125
-0.887276,-2.46037
2.49314,-2.43925
4.54263,1.41394
-2.00457,-3.40407
-2.30628,-1.37028
1.72575,0.634315
1.9843,-1.62882
-4.60083,-1.61036
0.975244,0.863782
-0.604224,-1.81347
-1.98355,1.24035
-1.76647,-0.549914
1.9124,3.99894
0.787421,-1.22054
-3.96392,-1.74646
-4.55203,1.64756
2.26174,0.1155
-2.59096,0.153743
-0.969336,-3.05225
-0.839126,4.8091
0.261565,-3.11478
-3.98211,-1.29443
-4.19198,-2.66288
-2.0226,-1.75244
