x,y
3.27732,-1.15272
2.82473,3.92429
-3.13651,-2.71522
-3.02786,-3.312
4.93196,0.715433
4.30269,0.0943373
-2.59357,0.607373
2.18201,1.80813
1.5504,-2.82483
4.28659,-1.58256
-3.06514,3.74804
2.67388,3.76946
1.41993,-4.66312
-0.970433,0.283694
1.87813,3.76026
3.34814,1.252
3.42967,-3.35902
-1.96126,-3.6241
3.877,-0.235679
-1.09603,4.38226
2.58541,0.483246
-1.39373,2.67968
-3.61685,-1.23614
1.36606,-2.82363
0.174613,2.31452
-3.62773,0.269183
-2.34623,2.47006
0.330946,2.91654
4.41095,2.33413
-0.453463,1.54807
-2.56455,-3.71128
0.830998,-4.20187
-3.94902,2.83374
2.05077,0.867547
-3.74979,-2.5184
-1.86096,4.43233
2.23345,1.79463
-1.74597,-3.25481
1.06473,-0.663226
-2.39522,-0.605403
2.26171,-4.18664
-0.675957,3.67181
2.78462,3.02149
3.87139,-0.944966
-0.962092,-4.16087
-1.75226,-0.312869
0.431492,3.29524
-4.03551,2.14135
-0.896092,2.28867
-1.27496,-2.07103
-3.93031,0.00693602
-3.42031,0.820723
0.767976,4.66095
0.875838,3.63516
2.7195,-2.18078
0.404264,2.87428
-4.61532,-0.465785
3.17694,-1.29829
-1.0694,-4.00996
-0.493797,4.83978
3.74095,0.624464
-1.23545,-3.1458
-0.428376,-2.08534
3.82912,-0.529632
-0.623665,3.56059
0.17094,3.0064
0.311991,3.75171
1.10715,2.08325
-1.80914,-3.01528
2.34406,-3.6086
1.58689,4.46872
-1.60268,3.02658
1.60033,-2.30423
1.13963,-3.53045
0.189898,4.28911
2.08373,-2.99579
-4.08904,2.03938
2.00283,3.47314
-1.01625,2.34955
-3.60523,0.0570602
-2.64654,-1.92597
-1.39358,3.27366
0.512771,-3.95258
-3.22689,-2.99542
3.14115,2.80015
-0.1028,-4.42981
-1.18779,-4.06958
0.137619,-2.13481
-2.17036,-0.0061297
-2.64282,1.70198
-1.7169,-2.35667
-2.7623,3.0469
-2.86348,1.23052
-0.920689,-4.54427
-3.69524,2.34606
-3.90641,2.14626
1.58938,1.63481
1.58542,4.10043
-3.44574,-2.53152
0.420238,2.66315
0.788464,-1.3363
-2.12003,-4.38035
4.63637,0.757093
1.42937,-2.74612
4.72361,-1.06768
-2.09453,3.06367
2.38151,4.11913
-4.3385,-0.508174
-1.17112,3.70793
-4.85463,0.396684
3.4858,-2.11719
-3.23073,2.07786
-2.79352,3.70589
-3.09252,-0.173323
-2.4571,2.95585
-0.140663,-4.15706
-1.30393,4.46828
-4.3308,1.74073
2.94638,3.38396
2.73191,-0.0683969
-4.16939,0.217955
1.75571,1.88918
1.91091,-4.01499
1.6217,-4.46283
1.59874,4.05309
1.63404,2.09166
-0.993569,2.44738
3.76496,-2.24458
3.07428,-2.71023
-2.48047,-4.10001
2.95391,1.70826
3.92521,-1.76486
-0.909708,1.25
-3.06271,3.49784
3.16095,0.139541
-3.60949,1.94008
2.33248,-2.31636
4.2426,2.40692
1.12151,4.51314
-3.35985,3.45958
-0.119125,3.03356
3.82328,-1.7614
-2.54575,-2.29566
-2.58838,3.1953
1.92532,-4.0009
4.37392,2.32937
-0.89861,-1.20292
-0.064955,1.31622
1.4559,-3.83597
2.74942,-2.37627
-0.354803,2.78539
1.08074,-4.862
2.76078,-2.85118
-2.45219,1.64962
-4.07553,0.908538
1.3296,3.0108
0.521191,1.70438
-0.0245419,-2.03295
-1.42141,1.99347
-3.53345,-1.99043
4.57837,-1.85893
-3.05678,-2.20741
1.12403,-1.74372
-3.44552,-2.39846
-0.606299,1.09471
-1.90238,3.86065
-1.8872,0.47951
-1.76486,-1.35606
-3.32439,-2.83157
3.5235,2.12955
0.255828,4.54787
0.52187,-4.32376
-0.795724,4.0425
3.02232,-1.95862
-4.27694,-0.339206
4.29028,-2.27065
0.428682,0.886016
-3.60739,-2.35403
0.704787,-3.21581
-1.44763,-4.21948
4.37979,-1.41815
-4.16641,0.771752
-1.49448,4.36718
-3.95481,-1.28448
1.94491,0.867276
-1.95244,0.925057
-3.21044,2.87234
0.103917,2.75626
-0.0632201,-3.28308
-2.54949,2.64097
2.22693,-3.3666
-1.02781,4.14814
3.49559,0.31254
3.21756,1.46478
-3.61081,-0.707002
-0.0315084,4.69915
4.6005,-0.268558
-0.169884,3.49115
-3.30094,2.34395
-0.958995,3.16141
-1.08793,1.72514
-0.535932,2.9743
5.00689,-0.602729
-0.42719,1.91728
-3.76889,0.654606
-0.619047,-3.99374
-0.102166,1.35425
-0.0875497,-2.07086
0.505957,-1.73777
-2.53675,-2.05647
-2.70105,-2.19212
1.99106,2.99911
1.49592,-1.17145
-4.09108,-2.9341
3.86811,2.60178
-3.2433,-1.96172
-2.0694,0.231136
4.25696,0.15411
3.18591,2.22221
-3.94002,2.87242
0.405572,2.49574
-3.11021,3.58223
1.19711,3.92763
-1.99148,-1.4907
-2.24734,0.227198
4.31674,0.177956
1.00233,-1.43824
1.91265,4.60203
-1.78673,-0.556326
4.10999,-1.43228
1.52625,4.26131
-0.948388,-3.65179
2.67332,3.59762
-3.46285,-2.9478
-2.70405,-2.82921
-2.67352,2.62342
2.47674,0.273157
-4.4711,-0.854655
-2.52192,-3.69443
1.44097,2.08401
-0.23171,-3.69873
-4.42848,-1.34375
2.88024,-0.47954
-2.54451,-3.84267
2.17953,3.65585
3.37368,2.98576
-1.53353,-4.46365
-3.22308,3.65217
2.95211,-0.682216
-1.13925,-1.26496
-4.60571,0.46182
1.28728,0.0895487
4.09109,-2.68484
-2.30399,4.41413
-1.16968,3.04479
-1.73046,2.0045
1.81738,4.37747
3.48405,-2.89848
-1.16923,-4.02065
-2.37226,1.26517
-0.928065,-3.72369
-3.11557,-1.17639
-1.14337,2.71821
3.99271,2.71393
-4.4193,0.335187
-2.45942,3.80748
3.90668,0.962746
-4.38483,-0.762142
-2.23588,-0.336951
-1.77853,3.06183
-1.38125,-1.26227
-1.17973,1.80505
4.19807,-0.632428
4.33883,1.3163
-3.39628,1.32125
-1.66728,-0.249193
1.56546,-0.0207736
0.345193,1.16269
-1.96499,-2.5511
2.40629,3.36057
3.97227,1.31743
2.36339,1.80785
0.66478,1.92199
-0.0313782,2.77212
-0.855869,-2.45217
0.864156,4.318
4.30457,0.128039
3.14951,-1.20618
4.57523,1.6161
-2.35775,-3.27163
2.19578,-1.93097
-0.298867,-2.0812
1.86519,-2.74857
4.55423,2.11384
-1.34351,-3.63428
-1.97698,-1.98798
2.06321,0.0210329
2.27507,-2.26557
-4.83311,-0.950027
-1.28006,-1.99582
-1.97626,1.94031
-1.39737,-1.14469
2.27677,3.40126
-3.81289,-1.06294
-4.27383,1.53481
2.6038,0.726235
-3.12315,-0.300983
-1.41988,-3.58798
-0.181057,4.57047
0.613987,-3.71959
-4.3844,-1.86729
-3.56725,-2.66329
-2.70292,-1.58762
-1.2665,-3.85119
2.52268,4.36942
-3.5731,1.659
2.7745,-3.22309
-2.54011,-2.83642
1.86585,-2.89378
-2.01747,0.22884
3.53668,2.82697
-2.52329,-2.43734
-1.73487,-0.831239
-3.51789,3.45418
3.50926,-2.2096
0.955534,-4.1476
-1.83039,1.70597
-2.0682,1.52056
-2.42816,1.19239
1.29616,3.42244
-3.1,-1.31111
-4.36601,1.40758
0.0351516,3.37456
-3.03349,0.694364
0.661325,1.04211
3.41784,-2.52543
0.378677,1.13742
1.92738,-3.50975
-4.74104,1.67238
-1.5462,3.27345
4.62624,-1.17572
0.540666,-1.73266
-0.250488,-1.79514
-3.08393,3.38349
3.89674,-3.12332
0.590767,-3.7416
-0.753115,2.16314
-0.300381,-2.12357
-2.44121,4.17694
-3.124,3.57794
3.67238,-1.6903
-1.48644,1.60099
1.27594,-1.95303
-3.34803,-0.782811
-2.05676,-0.359791
2.41229,-2.1076
-1.05839,-2.09255
1.16183,-0.175837
-0.8845,2.23186
2.31901,2.03973
-2.13739,-4.49135
4.50451,1.12667
-0.547793,1.13209
-0.0261578,4.31678
2.56801,3.16316
-3.84707,0.0189636
0.227572,4.10541
-1.08371,-4.0555
1.32516,-3.37929
2.17142,-4.10638
4.08366,-2.55802
-3.85034,-0.348168
3.91027,-3.14783
2.76706,3.03617
-3.39746,2.00673
-3.5797,0.727249
-1.39075,4.37872
-2.1332,4.13774
2.98525,3.14333
-2.55427,-1.09326
-3.56408,2.39661
-1.531,-4.0735
-4.76333,-0.588794
-0.335498,-3.46895
-2.5206,-3.23387
2.09539,2.70932
-0.565035,-1.8908
-0.893289,-1.78925
-1.19566,4.22665
3.64104,-0.487195
-0.0422782,3.90638
2.50689,-0.201471
-0.914197,-0.632373
2.88235,3.81078
-3.02701,2.04339
-2.18069,-1.03454
-1.84964,-3.99723
-1.93629,0.628777
-0.0513593,3.76994
0.0978404,-3.67776
0.035976,-3.95685
2.18212,-3.95513
1.42319,-4.16326
-0.524388,2.7633
-1.26242,-4.61113
1.21508,4.72449
-4.41789,0.154672
3.77071,-2.30669
2.39045,1.25139
1.30445,1.08672
-1.62834,4.42742
4.47524,-2.33195
-4.68385,1.27386
1.25929,1.82214
2.96346,0.422083
2.20726,-4.3025
-4.57938,-0.794063
3.05279,-3.8059
0.671519,2.8137
2.47454,-2.7483
-0.842377,-3.17773
-1.24515,2.07075
-0.334981,4.70573
-1.44333,3.77792
-1.26948,1.41399
-0.628371,-3.0961
3.65031,0.0528364
-2.88757,3.08492
0.948022,2.32897
0.587544,-3.66871
4.21932,-1.94445
2.41918,0.584321
4.58464,0.559944
4.40629,-1.3751
-1.42608,-2.78259
3.86654,-1.90623
0.811822,-3.76472
0.27917,-4.69742
-0.377673,4.4163
-3.51481,1.00644
1.32387,4.74888
-0.643451,4.15555
-0.0375628,-1.56402
2.54588,-0.00328442
-0.143322,-2.10768
-2.58201,-3.30408
-1.07894,-2.47738
-1.28805,-3.49234
-0.877335,4.31526
0.807197,3.29692
-2.1139,-2.40033
-3.12339,-2.36675
-3.59507,2.46792
0.102574,4.2315
-1.21945,2.67364
0.644016,-1.01293
-3.09929,2.78387
-2.43,-0.339794
4.87354,-0.782335
-0.891738,1.85942
4.05561,2.03087
-2.89596,3.38615
-1.48454,0.729022
-0.89695,-3.3145
1.2224,-4.04966
4.81178,-1.4388
-2.84483,2.59291
1.27308,-1.50667
0.0756601,-4.39346
1.49123,4.74211
-3.01789,-0.594568
-1.58549,1.58282
2.80817,-1.24147
-3.35777,-0.885303
-3.42233,1.66834
-2.18714,2.74702
1.20546,0.0574771
-3.61414,1.9302
-2.95214,-1.01674
-4.85888,0.47871
-2.65416,0.374918
0.779176,1.42687
0.588362,2.68892
-1.81815,-2.29271
1.7509,-4.13081
-2.2066,-0.255886
4.68806,1.44673
2.17406,-4.28368
-1.70431,3.23206
4.26783,1.90897
1.81298,1.26045
3.8995,2.70641
4.47758,-0.869454
-0.589443,-4.41368
1.39776,3.2482
0.251258,4.21815
0.24655,4.79663
-0.815982,-3.4187
2.01166,-4.13136
-1.52344,-3.89035
-3.36073,2.55526
-3.56899,-0.95239
2.69127,-3.40686
-1.37179,-2.84906
3.04344,-0.0985973
4.66321,-0.498974
-0.825597,-2.18259
3.33194,3.43342
4.08968,1.75697
4.45477,0.592174
1.14466,-2.89997
0.83693,1.46239
1.98711,-1.66282
3.44737,2.37974
2.87538,2.67044
2.75045,0.994168
-0.917293,4.54261
-0.281829,2.15686
2.54166,1.73308
-2.55435,-3.53883
2.3796,0.331797
-1.33259,4.34235
-1.23514,3.20135
-3.43087,3.01376
1.57749,2.34827
3.2654,-2.68194
1.86741,2.7876
-0.212459,1.38486
-2.50066,-4.27571
1.26848,0.0909362
-0.586492,2.74826
-2.32835,3.66507
-3.21455,0.860847
-3.6817,-2.5651
-3.47135,-3.295
3.36526,1.33257
2.35935,-2.24523
-0.317758,2.29774
-4.07818,-0.42832
-0.991969,4.60942
-1.88042,-0.973103
-2.80864,-1.77098
2.46931,3.0882
-2.34207,3.26849
-0.183112,3.82617
-4.48055,-1.37591
-3.57879,2.54858
-2.31152,3.87774
-3.02006,2.61323
-1.60745,2.09207
-3.91442,-0.281567
-3.30546,-1.93521
0.918758,-0.648309
4.41153,0.63259
-1.51691,4.73854
-3.9253,-3.01516
4.23851,1.25903
1.48416,4.59065
-0.233612,-3.96695
-0.0692472,1.80799
1.15259,2.33467
-0.656665,1.12966
-0.0560549,4.11315
3.60445,-3.15199
-4.38803,2.27528
-1.46962,-3.80396
-2.9541,-0.289683
-3.88765,1.39839
3.74128,3.06763
-2.33251,1.3829
-1.54226,1.69218
1.89609,4.4921
-3.81689,1.7074
4.03469,-0.105115
-2.66866,-0.476203
3.06712,2.55685
-4.37578,-1.17562
4.22015,-2.63303
-3.81155,0.453327
-1.80342,2.20796
3.50072,3.15935
2.04628,-2.67582
0.121497,1.80397
4.31808,1.01458
2.03362,-1.72122
1.39921,-0.2194
-4.85672,-0.548665
-3.0212,-0.408268
0.212842,-4.01463
-4.7985,-0.711884
-2.48738,-2.90978
4.08763,2.24432
0.808767,2.98234
4.6988,0.658451
2.38779,-2.31794
2.07274,-1.63229
2.32488,-4.36383
-3.80741,-2.16565
-3.20612,2.72527
-2.8159,-1.93574
2.86492,-0.640171
-1.37842,4.00605
0.893199,-1.58781
-2.50733,0.288718
1.24977,2.51784
-3.82267,-1.39687
1.54956,2.47015
0.376993,-1.7075
0.739214,4.02622
0.0652939,-4.26205
1.75028,-2.70737
-0.725573,-3.76782
-1.3527,1.76826
1.50654,4.54757
-3.83297,0.865657
1.15219,-1.53917
-3.44174,2.0352
-4.68467,-0.910174
-0.523176,4.70721
4.21341,1.48273
0.583237,1.57457
2.19035,4.26311
2.40985,3.71464
-2.58644,-2.03855
-2.90398,-1.35988
1.13654,-2.07217
1.83219,-2.52329
-1.34997,1.05731
1.25836,-2.887
0.193743,4.0836
0.313529,4.76736
1.26131,2.46158
3.09836,3.57097
-0.662653,3.5953
1.95452,-2.96695
-3.39108,1.28378
-0.626687,1.83629
1.46702,4.29874
-0.239613,3.32356
-4.38649,0.625482
0.54505,-2.62761
-1.52292,-3.41676
-0.851233,4.1102
-1.64831,4.44529
-3.53577,2.08335
-3.30706,-3.61392
2.25702,0.00113759
2.08989,3.26712
1.46175,0.688361
-1.58153,2.24697
-1.42555,0.894283
-2.77631,-2.88235
1.22475,-1.05959
-4.78692,0.0184877
-2.30434,3.84233
-2.10299,-4.34778
-0.235783,-3.59768
-1.2242,-0.521452
-2.76915,-2.11836
3.48194,0.826137
2.26902,-1.56981
-1.97128,3.03487
3.49867,0.0064272
2.51173,-2.67047
-2.1012,0.733986
2.4557,-3.26201
2.39157,-1.31079
2.24327,-2.09528
2.20157,-1.62479
-3.76681,-3.12552
2.94786,-2.18508
1.26585,-2.92222
-2.66601,-1.96737
2.97819,1.34147
3.17161,-0.736852
-1.00369,-1.19786
0.960384,-2.89204
-1.49111,-3.44189
3.41354,2.75192
3.77204,3.17651
0.726775,1.39145
-3.85488,-0.242546
3.98735,2.02984
2.60355,3.15859
-3.49895,1.21509
1.24365,0.92845
-2.20677,-2.71263
1.05056,-3.38241
1.17744,-1.09836
1.20729,-2.53321
3.75423,0.349652
2.95689,-3.56044
1.21485,-2.07631
-4.37096,0.207337
0.306235,2.97844
1.38492,-1.91029
0.256911,3.97329
0.757143,-1.41793
-2.18612,3.57225
-1.51379,-2.56887
-0.892184,-3.74776
-1.37613,1.47062
-0.898009,-1.15855
1.43055,0.653369
-1.30482,2.50311
2.93128,-3.24166
-0.667592,1.01101
-2.69276,2.46429
0.583396,-2.99421
-4.2265,-1.80574
2.73986,-4.0035
0.142699,3.00882
1.5095,-4.69489
4.93357,0.412454
2.92152,-2.97889
0.948696,1.31289
-2.06084,-1.11771
0.210312,1.72121
3.93584,-1.98418
4.6705,1.01451
-1.57604,1.58179
-3.78938,1.40156
-2.79539,3.73141
1.32047,-0.588613
2.13006,2.79915
0.684594,-1.5453
4.24534,-0.273594
-2.53202,1.83936
2.82191,3.29066
1.90859,3.87122
2.457,3.00981
0.520646,3.50251
-0.976111,1.88095
0.929557,-1.36503
4.86197,0.58976
-1.5409,2.50013
1.61371,-2.20289
-2.91337,2.17788
-4.89851,0.270502
-1.91083,0.757019
0.205338,3.35367
1.68804,3.16113
-2.28416,0.086563
-3.30814,-0.448158
-3.46821,-1.521
2.15859,-4.38233
-3.12829,0.754741
2.82731,3.68864
-1.64965,-1.58143
2.64341,2.14764
-3.09151,0.885927
0.24281,-3.69878
-2.06566,-3.21224
2.73814,-2.0826
1.56465,1.58753
-2.59607,-2.28675
-3.20966,3.08514
0.207942,-3.51832
-3.07167,0.768563
2.21854,3.57703
3.2204,0.230417
-1.79595,0.196773
2.43281,-1.15254
0.631257,-1.0177
1.36411,4.60456
-0.814044,1.64757
-0.0222254,-3.17723
-0.502231,1.46397
0.185979,-1.06829
2.45188,-2.73104
2.52175,-1.98236
-2.07622,1.61582
-3.87778,-0.0364992
3.41866,-2.35769
0.77424,-1.90624
0.979131,-2.01834
-3.02207,0.490148
2.2299,-0.00380262
1.78774,0.344124
2.32655,-1.53665
3.15415,-2.79057
-2.45149,-2.92073
-1.93042,1.48352
0.773146,-1.57674
-3.936,1.72307
-2.39886,3.13352
-3.97453,-0.336502
-2.02939,1.23321
1.51591,0.522722
1.573,3.35267
3.20371,-0.553742
0.84286,-1.40652
-3.46827,1.73193
-2.84452,-0.023074
-0.343214,1.87247
3.72563,-2.55888
1.11951,-1.43603
