x,y
2.84402,-0.737689
2.36435,3.53951
-2.86933,-2.17799
-3.27906,-3.74775
4.53573,0.26488
4.90105,0.138632
-2.73519,0.024326
2.42082,1.2577
1.75501,-2.26079
4.61038,-1.53212
-3.10558,3.46913
2.53393,4.29576
1.78067,-4.18368
2.38343,4.0838
2.75169,1.18678
3.06163,-2.88516
-1.74239,-3.06544
3.88757,-0.835586
-0.57973,4.0766
3.1657,0.3307
-0.85679,2.94745
-4.21592,-1.26945
1.48385,-2.2353
-0.234269,2.75362
-3.97588,0.757845
-1.81306,2.19487
0.0249018,3.43262
3.89497,2.64034
-1.03236,1.70578
-2.67009,-4.20997
1.02816,-4.76855
-4.30281,2.40223
1.79207,0.326184
-3.15168,-2.5659
-2.23748,3.96518
2.63095,1.3452
-1.14643,-3.23133
-2.76496,-1.07794
2.06827,-3.61868
-1.27592,3.67826
2.97423,3.59075
3.96275,-0.351962
-0.538028,-4.58534
-1.53476,-0.872058
-0.0499496,3.65331
-3.54589,2.48816
-1.37215,2.65387
-1.29423,-2.67072
-3.58692,0.498956
-2.83713,0.679663
0.411777,4.17812
1.32704,3.23967
3.3137,-2.26398
0.125762,3.40573
-4.91811,-0.983774
3.55958,-1.76044
-1.63304,-3.80426
-0.481636,4.2399
4.33135,0.517516
-1.26908,-3.74485
-0.962332,-2.359
4.38279,-0.760818
-0.893956,4.09626
0.691495,3.30476
-0.197116,4.06922
0.827857,2.61428
-1.21552,-2.92804
1.94927,-3.15678
1.84837,3.92869
-1.5744,3.62591
1.24782,-1.8187
0.626406,-3.84125
0.727407,4.02249
2.6424,-3.21463
-4.38849,2.10434
1.84549,2.89414
-0.941653,1.7542
-3.32914,0.589768
-2.79773,-2.50661
-0.843257,3.5127
1.01247,-3.62046
-2.63652,-3.10249
3.7131,2.61883
0.0753993,-5.00274
-1.37369,-3.49911
0.695664,-2.35524
-2.27266,-0.597344
-3.23203,1.81526
-2.27546,-2.57578
-2.19722,2.8452
-2.5412,0.724424
-0.716325,-4.7646
-4.20585,2.66115
-3.8626,2.74466
2.18794,1.67636
1.09739,3.7514
-2.92543,-2.23274
-0.111169,2.38457
0.217018,-1.15341
-2.02825,-4.09225
4.75476,0.607815
1.74785,-2.23762
4.13249,-0.964815
-2.27805,2.49242
2.76041,3.65391
-3.75001,-0.391214
-1.726,3.93623
-4.90101,-0.201521
3.33,-1.53777
-2.69536,2.34876
-2.66547,4.09659
-3.46378,-0.644671
-2.63596,2.38313
0.156425,-3.63577
-1.65291,3.98021
-3.87957,1.34526
3.13645,3.85384
2.14839,-0.208045
-4.74735,0.0568033
2.14382,1.43161
2.45041,-4.27755
1.83185,-4.38076
1.36616,3.5
2.232,2.14117
-0.517253,2.08252
3.26965,-1.90596
2.48451,-2.82058
-2.61983,-3.90217
3.54477,1.81261
4.52384,-1.80542
-0.66316,0.702998
-3.62179,3.28006
2.6553,-0.183435
-3.08847,1.64253
2.00626,-2.81992
3.68343,2.18936
1.03164,4.73336
-2.80243,3.23758
0.0175125,2.44932
3.79582,-1.16202
-3.09615,-2.53452
-3.06356,3.56163
2.0637,-4.58472
3.78831,2.19873
-1.4144,-0.896392
-0.58637,1.01936
1.33144,-3.24902
3.07928,-2.87746
-0.737715,3.24732
0.901041,-4.28954
2.19281,-2.65776
-3.04409,1.5514
-4.39657,1.41542
1.66458,2.51302
-0.0637487,1.5708
0.1739,-1.46671
-1.18716,2.54585
-3.18679,-1.50071
3.98501,-1.76991
-3.64947,-2.30076
1.72315,-1.77624
-3.77455,-2.90019
-1.20386,1.0407
-2.10523,3.29598
-2.27339,0.938704
-1.2041,-1.56946
-3.16067,-2.25433
4.10188,1.96996
0.0722873,4.93089
1.12183,-4.31696
-0.868985,3.44699
2.56153,-1.57435
-4.09596,-0.911262
4.06123,-1.71609
-4.12832,-2.65174
0.142017,-3.42387
-1.45477,-3.61953
3.82386,-1.64385
-3.93002,1.32322
-1.92643,3.95074
-4.32853,-1.75388
2.05173,0.276861
-1.43918,0.614318
-3.49274,2.3429
-0.280283,3.21711
-0.577485,-3.59216
-2.73638,2.07082
2.67437,-3.76634
-1.08251,4.74564
3.43599,0.909573
2.77277,1.06208
-3.16263,-0.308086
0.550177,4.84626
4.80226,-0.214871
0.429224,3.45844
-3.89221,2.44596
-0.928626,3.76064
-1.57679,1.37727
0.00906828,2.72335
4.46091,-0.353922
0.165608,2.00996
-3.95913,1.22365
-0.961705,-4.48627
0.335374,0.943692
0.512415,-2.06437
0.316989,-1.1683
