x,y
-0.839062,2.79005
-1.54885,0.26891
-0.598322,2.38846
1.16774,-3.56482
-2.18086,-3.20973
3.47213,-2.76919
3.49417,2.53351
0.359105,1.28509
-1.39834,-1.33663
-2.3026,2.67775
4.84699,-0.108431
2.1163,-0.444118
1.18727,-3.70781
3.80884,1.47843
1.86465,-0.776114
2.53496,2.86541
-0.895051,0.705099
2.48504,2.76546
-1.82644,2.07399
-0.952048,2.65133
2.7189,-0.144208
-1.49173,1.64648
-0.481015,4.76797
-3.15163,1.35784
1.23409,-0.928613
-3.98911,-2.36887
-0.406885,-4.2754
1.93231,-2.96968
-4.64335,-0.0981314
3.29495,-1.80699
3.94966,-3.03174
-1.42576,-2.01762
-3.61868,0.71066
-0.865728,1.44875
2.28133,3.33591
3.20798,-1.97424
0.294982,-4.40653
-2.50732,1.72617
0.615173,4.56809
-1.9172,1.2505
0.100483,-2.25837
-0.668099,4.68112
-2.61592,0.0740963
4.86198,-0.122623
1.80777,0.627216
-1.37631,1.67756
-0.848701,-4.05784
0.443037,-1.76281
-4.12605,-0.413432
0.865242,-1.05531
0.517171,-1.29556
-2.51146,-1.53814
0.436469,-0.987132
-1.07706,0.609822
2.52026,1.34905
-3.00255,1.48236
-1.16832,2.72064
3.83028,-2.18646
4.07087,-0.661571
0.912934,1.66298
-2.78422,-2.3426
4.34042,1.30647
2.05064,0.317398
0.50814,-2.0274
-0.898691,4.74421
0.0992182,-2.27278
2.71123,2.65816
4.70876,-0.683454
2.38163,-4.01254
3.25446,-1.79652
1.44265,-0.0894279
-2.95383,1.34993
2.79976,-1.65208
-1.53055,-3.32921
-1.6016,-0.237164
-2.04969,-0.317389
2.60598,1.13075
0.198154,-3.57743
2.05035,-0.480267
0.644702,4.32593
2.66535,0.208291
-3.05089,0.784616
-4.62813,0.0166566
-4.64027,0.401167
0.0961927,-1.46769
4.45493,2.08461
-3.83797,-2.36316
4.44664,-0.61866
-2.98077,0.164786
-2.40327,-4.37202
2.00567,3.38729
1.85522,4.65141
2.02063,2.08402
-1.28317,-2.25117
-4.15624,-2.485
2.68167,0.795162
-4.61927,-0.168373
-0.044156,-2.01622
-0.979154,0.841889
-0.40073,-1.26928
3.65492,-1.84601
2.81507,0.671131
1.89909,0.718793
2.65075,0.136603
3.53143,-1.0188
-2.52849,-3.75854
-1.69763,1.11376
1.42547,-0.392697
0.804132,1.27159
-4.7377,-1.57963
-1.64277,-2.92873
-1.21931,-3.27956
-1.20305,0.149017
1.93563,1.35056
3.18142,3.55671
-1.38107,0.0854552
