x,y
-1.23626,3.17049
-1.97086,-0.0838026
-0.353409,2.88092
0.804523,-3.97783
-1.64381,-3.09107
2.92218,-2.76166
3.68172,3.05054
-0.0993658,1.58891
-1.21422,-1.8549
-2.82419,2.50326
4.86683,0.322939
2.05124,-0.990257
0.648896,-3.82028
4.28212,1.19824
1.3252,-0.883322
2.63642,2.32485
-0.404393,0.953604
2.59301,3.30476
-1.79505,1.52489
-0.416456,2.77639
3.20764,-0.396462
-1.59418,1.1061
-0.941965,4.46793
-2.77596,0.956133
1.65513,-0.57474
-3.65421,-2.80515
-0.644027,-4.77165
2.48059,-3.01322
-4.40581,-0.594194
2.78101,-2.00286
3.88317,-2.54353
-0.899737,-1.85699
-3.66321,0.162465
-1.32988,1.15368
1.7773,3.55604
3.614,-1.60322
0.478256,-3.88796
-2.66765,1.20006
1.0635,4.24949
-1.70078,0.744866
0.373385,-1.78086
-0.333231,4.90295
-2.94244,-0.368495
4.4498,-0.486774
1.45092,1.04573
-1.48955,1.13935
-0.409843,-4.38936
-0.0930315,-1.63981
-4.13718,0.136456
0.345881,-1.23632
0.771258,-0.807766
-2.28604,-1.03646
-1.0512,0.0604297
2.52151,0.799053
-3.24299,0.987697
-1.33775,2.19739
4.37443,-2.10648
4.31055,-1.1566
1.25173,1.22972
-3.08304,-1.88086
4.21468,0.771032
1.85498,0.83142
0.363916,-2.55815
-0.461381,4.41065
0.590798,-2.02611
2.93487,2.15569
4.40903,-0.222301
2.88202,-4.05248
3.10608,-2.32612
1.5901,0.440439
-3.12424,1.87286
2.5855,-1.14554
-1.05244,-3.05735
-1.16803,-0.575569
-1.75716,0.148365
3.12397,0.945861
0.493575,-4.04135
2.34872,-0.0182312
1.17925,4.45537
2.23877,-0.138876
-3.49825,0.464669
-4.93483,-0.231806
-4.87202,0.53839
-0.406202,-1.69152
4.06094,2.22065
-4.0062,-2.8868
4.29752,-1.14806
-3.03063,-0.382949
-1.88315,-4.53594
1.86285,3.91842
2.04036,4.13351
2.52599,1.86698
-0.734104,-2.28325
-3.93307,-2.76078
2.954,1.27301
-4.93917,-0.615769
0.369467,-2.37874
-1.42299,0.517071
0.130431,-1.412
3.11677,-1.95958
2.84529,1.2203
1.90634,1.26874
2.29883,-0.286072
3.96805,-1.35325
-3.06911,-3.85969
-1.59817,1.65469
0.985126,-0.722233
0.374202,1.61461
-4.3731,-1.96097
-2.10628,-3.22479
-1.61793,-2.90061
-1.44404,-0.345372
2.4466,1.14706
2.63238,3.58924
-1.01735,0.498019
-1.72614,0.968573
-3.29948,1.27825
-4.09542,-1.36979
-0.43242,-0.902793
-1.57417,0.795792
-3.15558,-0.836431
-1.8823,-1.10066
0.318717,3.13934
4.35709,-1.98323
-4.43508,0.211091
1.16062,2.38034
0.0776332,3.1108
-1.60246,-0.931602
-1.15799,1.26519
2.58556,-0.0819239
1.06973,-1.27105
-3.26259,0.0323862
-4.01545,-2.02131
-1.31092,1.81731
3.46806,-3.01
-1.61899,3.18126
1.98324,-2.45912
-1.84464,-0.383982
4.60086,-0.623227
-1.55886,-2.16073
-0.655852,-4.138
1.90431,3.506
-3.01515,-1.53564
-1.522,2.03007
-1.41113,-3.76927
-0.190132,4.14131
-4.33479,-0.346569
0.665708,-2.33024
1.86983,-3.55451
-3.45471,-2.38327
-1.78105,1.10995
-2.69804,-0.782994
-3.58617,-2.738
0.789953,0.741914
0.505489,3.59096
-1.4156,-2.73002
1.05774,3.44837
4.43182,1.43031
3.59856,1.03447
-1.03454,-1.49531
0.853319,0.855449
-3.40376,-1.334
4.88111,0.33828
-0.680411,1.98901
3.40184,1.42481
-0.13016,3.42361
-1.82071,0.309368
3.5735,-0.86949
0.449962,-1.65071
-1.18955,1.22017
1.19662,4.70534
1.16468,-3.5823
1.03098,4.24209
0.849176,4.20117
2.00367,-3.91496
-2.23596,1.52955
2.62615,2.55698
-2.13382,0.72987
-1.3117,1.47391
0.0370847,2.97205
4.96917,-0.368543
-1.77485,3.11044
2.26832,-1.94448
-4.2888,0.344486
3.06955,-1.84111
-0.355302,2.47489
-1.62798,1.29793
-2.72688,-1.76419
1.46498,-1.36683
0.0637067,2.04468
-4.25392,1.62876
-1.43092,2.4205
3.50907,-1.06901
-0.484287,3.50454
0.678597,-1.74502
-2.72398,2.40475
4.1424,-1.29664
0.431354,-1.31579
-4.10281,1.23383
-1.33243,-2.03759
1.20806,1.55116
3.85853,-2.17548
0.0367381,-3.72269
-1.32835,-4.70255
-4.77048,-1.20723
-3.75512,-2.64537
-1.16906,-4.22024
4.87872,-0.559033
-4.1105,0.246394
-3.46937,0.0872981
0.105746,4.1795
3.6837,1.9546
1.69661,1.62287
1.53608,0.293842
-1.24673,4.49896
1.25612,-3.45327
-1.66965,1.76431
-1.52082,-0.424979
-0.143589,-2.47167
4.57668,-0.629347
1.67462,4.06132
2.35785,-3.88368
-0.726836,-1.16487
-1.76816,2.59362
1.79281,2.22232
-1.37512,0.261824
2.96454,-2.86445
-1.30009,-2.03886
2.407,-1.58637
3.13283,0.960576
3.19194,-1.90968
4.36446,0.191068
-0.31468,-1.63789
2.53183,-2.75366
4.77097,1.25713
-2.56946,-2.72583
-0.673623,4.47568
3.24836,-2.11823
1.32645,-2.70374
1.43149,-2.40333
-0.289882,-1.22406
-2.36816,4.2608
-2.18217,-0.211155
0.611807,2.18065
1.26199,-3.15319
4.01008,-1.64139
-1.8608,4.06505
0.58307,2.16119
-0.571427,-1.78433
-1.15782,0.436549
4.13511,1.22925
1.34395,0.10661
1.36898,-2.64909
2.6687,-2.24439
-1.73905,1.40666
-1.95445,-2.70247
2.39786,-3.28556
2.23489,0.73615
-1.11828,0.584892
-0.836893,-2.21534
2.42959,1.53325
-1.104,-1.80903
-3.91052,-1.9567
0.772482,2.57605
-0.224178,1.80129
-0.272004,-4.67391
1.04611,-2.82255
-0.400505,-3.42329
2.51039,-2.36441
2.31799,1.0071
-2.07386,-3.97994
1.00738,0.737591
-0.75171,-3.55068
3.30362,-0.1333
2.46116,0.500001
-1.90204,-0.791653
-3.65241,0.847296
0.712508,1.77908
2.67959,-1.57237
-4.28506,-1.13388
-2.76113,-2.22114
-2.53441,-0.956656
4.75815,1.34089
2.69552,4.13362
-0.468365,4.76426
1.80972,0.940546
1.80522,-2.27562
3.22413,1.93913
1.52228,-0.505064
3.64786,-2.26868
-0.655477,3.34685
-3.36867,-2.45842
0.088961,4.87387
2.01073,-0.131952
1.47464,-0.116837
3.8069,2.35686
-3.38359,-3.37815
-1.8104,-3.48537
0.30934,-5.01288
-2.2394,3.00203
-0.853871,-1.96126
2.40958,0.478673
-2.61081,-1.44399
-2.44285,3.87964
1.85011,3.34114
1.50447,3.99995
-4.61981,0.486448
-0.809834,-4.57677
-2.13722,2.51572
1.61614,-1.22016
-4.14666,2.39406
-3.01395,-0.494015
-3.32965,3.28396
1.71076,0.0596532
-3.36235,0.631325
1.25277,3.10225
4.41348,-1.73289
0.644761,1.54796
-1.99961,1.00201
-1.1838,1.70878
3.60029,-0.737832
-1.72884,-0.0652467
-2.01229,1.05785
-3.6844,0.0481538
3.93067,-1.13345
1.04191,-1.52311
-0.193478,3.31658
-2.36095,-1.09622
-0.510228,3.18562
-0.983749,3.15682
-0.326718,1.66852
0.589824,-1.51179
2.45102,0.00775908
4.66011,1.19659
0.516494,-4.41271
4.2644,1.70089
-2.95265,1.6448
-0.740055,-0.848514
1.9629,-1.24568
4.49892,1.60821
4.10982,0.909993
2.68067,2.80391
0.939344,-0.895939
0.922562,-3.61334
3.10781,1.31914
3.92851,-3.0681
3.48247,1.87041
1.51567,-0.690843
-0.251555,-1.97024
0.156535,3.20771
4.28126,-2.04206
1.25537,2.38009
2.09288,0.65056
4.06157,1.18156
-1.81725,-3.73216
4.70619,-0.354974
1.86482,-1.92144
0.70696,3.66358
-3.59584,-0.480083
1.70994,-1.92566
3.26839,-2.1256
3.72261,-0.0485676
-2.54955,1.08224
0.865738,-1.13529
1.62203,3.85084
1.8686,-0.219491
-2.16766,0.029763
3.37716,0.484428
1.17993,1.01802
-1.48918,1.27039
-0.287015,2.74346
-2.1113,1.01513
-3.83425,-1.92625
-2.68511,-0.00276043
-3.70774,-2.16762
-1.42688,-1.06244
-1.42516,-1.27269
2.22931,-0.413318
3.98376,0.483962
-3.97812,2.67023
-1.49223,3.15862
-2.95485,-3.03071
0.259543,-1.33584
0.0904601,-3.66204
0.746094,-2.98856
-3.03954,-1.38143
-1.85384,2.65861
-1.8402,-4.41756
-1.34103,-1.67197
2.2765,-4.25012
3.28639,-2.94874
1.5174,-2.47929
-3.77049,-2.9457
2.91419,-0.978879
