x,y
1.58021,0.47281
1.02159,2.41725
-2.09007,-0.611071
-1.92393,-2.64044
3.38005,-1.04923
3.35098,0.171609
-3.14825,-1.67623
3.11734,-0.347712
2.35178,-0.615687
3.15161,-0.565431
-2.51976,1.82009
0.874337,3.74056
2.83284,-2.78531
2.51258,2.88236
1.01206,0.996584
1.98818,-1.50306
-1.10402,-1.43603
3.91841,-2.58531
0.926151,3.18507
4.85819,-0.114224
0.709277,3.72843
-3.8836,-0.808522
1.8274,-0.519356
-1.42684,4.03435
-4.21429,1.88958
-0.257977,1.39225
-0.867728,4.93785
2.39003,3.53345
-2.72082,2.16578
-1.33042,-3.08402
0.922188,-3.31777
-4.55764,0.670882
1.03752,-1.25279
-1.40717,-2.70445
-3.33567,2.60265
3.79035,0.0343596
0.602231,-3.16284
-3.84339,-2.45615
1.50409,-1.96212
-3.02582,3.69705
1.96136,3.24599
4.22921,1.37763
0.734977,-4.23405
-0.900374,-2.50303
-1.45415,4.69768
-2.11785,3.49969
-2.76064,3.71904
-1.35042,-4.41982
-2.58536,1.93401
-1.13618,0.268236
-0.627139,2.76988
2.64305,2.08614
3.98133,-1.92193
-0.686535,4.95578
-3.52175,-2.0386
3.70818,-2.51204
-3.27699,-3.20432
-0.446166,2.49026
4.02863,0.0471842
-1.03045,-4.26664
-2.5197,-3.15718
3.78647,-0.990759
-1.23456,3.95612
2.20978,4.175
-1.53804,4.49528
0.0132465,4.16312
0.51588,-2.67357
0.797787,-1.83899
2.61099,2.3536
-1.15061,4.30198
-0.870502,-4.74777
2.29514,3.24486
3.24236,-2.81346
-2.91622,1.15833
1.3866,1.20537
-2.5239,2.1435
-2.89495,-3.77527
0.76186,4.20991
2.46991,-2.65177
-0.914607,-3.41476
4.15824,1.42927
0.544553,-3.3168
-1.91589,-1.83522
2.3233,-2.99813
-2.57105,-2.32172
-4.24243,1.82403
-3.83146,-3.15425
-0.549061,2.25691
-1.60123,-0.7517
0.233024,-3.29449
-2.82193,1.76265
-2.6112,3.53751
3.93374,1.79752
-0.32604,2.73339
-1.40783,-1.3613
-1.66111,1.57205
-1.4497,-0.619975
-1.37862,-2.4673
3.15623,-0.104368
2.67675,-0.754502
2.4084,-0.664783
-2.81331,0.826291
3.86556,2.29702
-2.03358,-0.0500808
-2.67707,3.50099
-4.50014,-1.86496
2.87557,0.152201
-1.13389,3.13889
-1.0575,3.406
-4.54661,-2.01943
-3.15763,0.712693
1.02293,-2.11535
-2.67078,2.55667
-2.5635,0.191811
1.72423,2.82032
-3.63599,-0.40002
3.2758,0.0970273
2.63099,-2.67381
1.85492,-2.63092
0.687795,1.88683
3.97603,2.28557
0.871999,1.01834
1.82499,-0.918307
0.764365,-3.14243
-2.30339,-2.18102
4.10759,1.61447
3.42279,-0.817692
-4.12783,1.71439
1.18047,-1.12545
-1.56883,0.774671
1.05477,-4.28865
2.05254,1.55479
0.264833,3.1603
-1.17662,2.59007
3.71573,0.586142
-3.59645,-2.42743
-2.62724,2.5708
1.05662,-3.15354
2.0803,1.81771
-2.91879,-0.00235222
-2.10716,0.153513
0.968436,-1.53708
2.80052,-3.0841
-1.85454,4.59461
0.376926,-2.61987
0.536226,-2.09363
-4.77049,1.26493
-3.45469,2.15372
2.64161,1.06115
-1.76982,1.18117
-0.503919,4.15696
-2.17568,-0.0723685
2.25438,-1.51025
-3.73068,-1.6659
3.47058,-1.8711
-2.58155,-2.64152
-2.94676,0.883191
-2.69689,1.64903
-3.39977,2.27802
0.431476,-2.19188
-2.68316,-0.570743
4.06609,0.838106
-0.521451,3.28469
2.71668,-4.03788
-1.08266,1.71009
1.21754,-0.45355
-3.56812,-2.57976
3.39316,-0.0986278
-2.87288,-1.74176
-1.49939,-4.03072
-1.47559,-1.86965
2.2024,-2.30217
-3.24053,2.93167
-3.18628,2.73614
-3.22938,-2.13455
2.36329,-1.44518
-4.31614,0.798715
-1.40087,4.56128
-2.07743,-4.49365
-3.28148,0.40788
2.41139,-2.80505
-0.548577,3.39165
3.26218,2.65092
1.47549,-0.112462
-1.85543,0.855417
2.04134,4.1363
3.07329,0.0556391
2.17662,3.36306
-3.51038,1.51802
-0.655154,4.45191
-3.00263,0.36263
1.59865,1.99142
2.86846,0.371766
1.8946,2.28029
-3.93257,2.55661
-1.3692,-3.56441
2.26231,-2.04543
-2.88483,-3.67287
-1.00202,-0.5686
1.56913,3.97692
1.42053,1.17734
-2.19269,-1.54896
2.43322,1.78214
-2.25895,-4.09562
-0.817059,2.21964
3.99249,2.48918
2.74139,-0.0853682
-2.17299,1.82842
-1.47239,3.90845
-1.16642,3.46604
1.40488,3.38581
-4.31576,-1.14396
-4.0891,1.68679
3.58838,1.36012
3.79422,3.23949
-2.4894,1.68616
3.11415,-1.40961
1.80527,1.92793
-2.80189,-2.20713
3.27762,2.05333
-2.29441,-0.908868
-3.4097,-2.17129
-4.38857,1.76409
4.51565,-0.895328
-3.34396,0.147894
-3.70427,-2.23232
0.259192,4.11525
2.06807,-4.18198
-2.94546,0.479208
4.56027,-2.12271
-2.61199,-1.49364
3.81107,2.58926
2.78014,1.7976
-2.49958,-2.3214
-2.62799,1.64094
4.89987,0.293971
1.13573,-1.854
-2.86015,-1.11156
2.42403,-4.27573
-3.29891,2.28513
-2.14181,0.90529
-1.51937,-0.336005
3.76491,3.06232
1.80492,-1.25439
-2.97684,-3.4852
-2.88728,-3.76902
-1.90436,0.837421
1.20453,2.81749
2.58285,1.35313
-2.11971,0.819354
-1.27013,3.0022
1.969,2.29236
-2.26383,-1.77401
-3.99534,1.22087
-2.85664,3.23912
-1.5852,-3.6034
0.984679,0.889717
4.53985,1.41548
4.60348,-1.01875
-4.07375,0.837171
-2.76116,1.83069
2.94594,1.88101
-3.40276,-3.06964
2.61619,1.01997
1.98986,0.0554685
4.42781,0.685045
2.2989,3.07596
1.43205,-2.98874
3.05846,3.47685
1.95968,-0.0269096
1.04701,-0.156421
2.96592,0.471056
-0.983829,-4.44191
0.0142738,-1.05716
1.67651,-0.808245
-0.24292,-3.78702
2.7345,3.60081
0.875778,-4.40712
-0.871464,-4.06171
3.19614,-2.03784
2.71731,-3.70736
-4.73976,1.35891
-3.54892,-2.608
-1.95178,4.29018
-0.158233,-3.14145
3.50004,1.39474
-3.30586,1.23171
-2.07703,0.700192
3.75213,2.77656
-4.46982,-1.67234
-1.95669,-3.38075
2.02817,3.76935
1.28449,-3.79294
-2.51515,-2.29757
-1.22253,-2.50578
-4.81089,-0.996208
-0.0396934,-1.84683
0.99687,2.58214
-4.47017,0.277659
0.890308,-1.8187
-0.403624,-3.81514
3.55616,-2.93321
2.03818,1.01673
-3.52919,-2.48064
-2.6804,-2.98263
-1.28164,2.73191
2.67858,-2.75882
-1.3286,-4.70005
-1.26313,3.98648
-2.98848,3.68288
-1.61745,-1.01334
1.20214,1.07432
-0.763816,-1.05665
-2.87498,-0.408826
0.965843,1.21671
1.25494,-1.60655
2.86457,-2.85441
-3.73818,-0.452894
-1.17265,3.97139
2.88919,-2.15287
2.87443,-1.45691
-0.998979,2.2993
1.7164,-2.24661
-1.00467,-2.01618
-0.292181,4.46749
1.85591,-3.05786
-3.73576,2.21566
-3.22912,1.65068
1.33863,-1.41445
0.861528,1.5032
1.8097,0.335552
-2.26528,1.30289
4.34709,-2.02116
0.492064,-3.8585
1.39939,2.78533
4.19222,2.33772
0.0186902,-3.69665
3.04473,2.11458
-2.15892,-0.578687
-0.381917,3.36757
1.96911,3.05723
-2.36712,1.84441
1.06869,3.65256
-0.330655,-3.57385
2.25829,-1.2225
0.136647,-4.49091
2.06399,-3.03923
-2.2863,-2.1021
2.20897,-1.5267
1.48567,4.15696
-1.44458,0.699527
-4.36284,-0.259167
-0.107548,3.45761
-2.5545,2.4556
1.36108,4.73993
-0.898222,0.574073
-1.60316,3.6917
-3.56997,-3.26959
-3.65611,-2.45732
-1.01295,-1.21871
-1.58508,-3.44777
-0.25162,2.59078
-2.9108,-2.03178
-1.9908,0.288728
-0.280258,3.41314
4.10853,-0.0561886
-1.76537,4.18936
2.94857,2.10665
4.32614,1.95661
-2.96038,3.03556
-4.42312,-0.331688
-1.67979,-2.92273
-3.47355,2.40623
0.420817,3.99001
2.44372,-3.81691
-0.747537,-3.83977
1.65096,-2.70823
0.131451,-2.20012
-2.76207,2.04546
0.690182,-3.30353
1.14997,2.37539
-3.62208,1.4579
1.46521,-1.85155
1.69137,3.495
0.291103,3.20702
-1.0842,2.14128
2.6697,-0.827774
-2.87768,0.273265
3.60202,2.00688
3.24664,-2.43825
-2.66333,-2.15467
4.19176,-1.86334
-1.56848,3.52427
2.26033,-3.34004
0.304508,-4.77551
1.99002,4.36383
0.644653,2.69958
0.738467,2.63492
-0.175537,-4.63319
3.63028,-2.29708
-0.633307,2.42099
2.09605,0.27847
1.67603,-1.586
2.75667,-1.42016
4.73087,0.161702
3.29339,-0.344395
2.80838,0.348034
0.917431,-2.60805
3.74757,-0.619734
0.380951,-3.88108
0.996232,-3.09208
1.35095,3.98558
-3.31914,-1.3354
2.63128,2.94726
-0.294615,3.55005
1.63217,-3.21765
2.26706,2.33012
-2.47784,-1.83839
-1.03658,-1.53373
0.22363,-4.43334
1.03004,-3.87832
-0.625579,3.19295
3.014,2.48914
-4.4315,-2.01141
-2.65006,-2.82323
-2.27197,3.63465
0.860172,3.54788
-3.39812,3.55447
2.91627,-0.413468
-2.24314,2.88686
-4.52222,0.730308
2.93317,0.543362
1.73685,1.64895
-4.20063,1.43158
-2.81506,-3.90059
-0.674126,-4.61858
2.46605,-1.29729
-3.54176,2.00298
3.54781,-2.09667
1.54511,-2.55955
-0.856976,4.65017
-3.47668,1.71021
-2.56708,-0.552352
3.94013,-2.62552
-2.64737,-3.12535
-1.855,-0.0826578
-4.39097,1.93116
-1.58907,0.737896
-4.14009,1.01088
-4.38898,-1.7474
-4.57192,-0.983278
1.41255,-0.836164
1.60282,0.569158
-0.701072,-4.36023
-0.178643,-4.46513
2.58159,1.00832
1.52547,-2.02495
0.0322471,1.64874
2.9245,3.83718
0.0519379,2.81648
2.70305,1.40034
3.04195,-0.658315
1.15595,-4.01482
-0.776343,2.35614
