x,y
1.54411,0.507395
0.983222,2.38518
-2.0678,-0.566302
-1.88522,-2.6088
3.34703,-1.08678
3.30098,0.172384
-3.16005,-1.72482
3.13724,-0.393581
2.36883,-0.568684
3.10993,-0.537811
-2.50303,1.77298
0.82692,3.7247
2.8629,-2.74536
2.50666,2.83271
0.962353,0.991149
1.95751,-1.46357
-1.08578,-1.38947
3.91929,-2.63531
0.969177,3.1596
4.90655,-0.126936
0.754022,3.75074
-3.839,-0.785931
1.83721,-0.470329
-1.46092,4.07095
-4.1656,1.90095
-0.213546,1.36932
-0.877041,4.88872
2.34703,3.55897
-2.76907,2.17892
-1.29214,-3.05185
0.917336,-3.26801
-4.56492,0.621415
1.01597,-1.29791
-1.35733,-2.70841
-3.36704,2.56372
3.82347,-0.00309298
0.652193,-3.16089
-3.87421,-2.49553
1.48797,-1.91479
-3.07582,3.69759
1.91917,3.21916
4.23683,1.42705
0.771888,-4.20032
-0.882249,-2.54963
-1.49427,4.72752
-2.07705,3.52859
-2.80031,3.74947
-1.35202,-4.4698
-2.55674,1.97501
-1.08758,0.256481
-0.656823,2.72964
2.68065,2.05318
3.94889,-1.88388
-0.696831,4.90685
-3.48185,-2.06874
3.65945,-2.50086
-3.32396,-3.18718
-0.445153,2.44027
3.98141,0.030729
-1.00735,-4.2223
-2.5642,-3.17998
3.73647,-0.990704
-1.2322,3.90617
2.25316,4.19986
-1.5599,4.45031
-0.010028,4.20738
0.565349,-2.6663
0.764887,-1.80133
2.63278,2.3086
-1.11981,4.26259
-0.913271,-4.77367
2.33993,3.22264
3.22458,-2.76673
-2.87416,1.1313
1.37349,1.15712
-2.50089,2.18789
-2.85026,-3.75285
0.807721,4.22983
2.51155,-2.62409
-0.865409,-3.42368
4.14475,1.38112
0.557958,-3.26863
-1.93139,-1.78768
2.3698,-3.0165
-2.57958,-2.37099
-4.20301,1.79327
-3.80487,-3.11191
-0.501971,2.2401
-1.57437,-0.793875
0.260149,-3.25248
-2.77998,1.73545
-2.5626,3.54928
3.98362,1.80098
-0.366709,2.7043
-1.36447,-1.3364
-1.70539,1.54884
-1.49732,-0.604734
-1.36006,-2.42087
